     0	     0	   35.5997	   26.6439	    20.121	    9.4738	   3.08084	   8.96033	         0	         0	   10.2053	  -7.38729
     1	     0	   39.8887	   26.7487	   22.2157	   5.14643	    3.0104	   8.60808	         0	         0	   10.6737	  -6.95879
     2	     0	   41.7617	   26.8544	    22.512	   10.6281	    2.9808	   8.60311	         0	         0	   10.9934	  -7.19926
     3	     0	   37.9968	   26.7573	   21.4754	   11.3273	   2.95226	   9.16743	         0	         0	   10.2241	  -7.56972
     4	     0	    35.773	   26.7087	    21.684	   6.98144	   3.03098	   9.11523	         0	         0	   10.3708	  -7.71238
     5	     0	   41.5568	   26.4494	   22.9789	   7.73883	   3.02383	   8.64269	         0	         0	   10.8938	   -7.1149
     6	     0	   40.9594	   26.8829	   22.1949	   8.59604	   2.92518	   9.18565	         0	         0	    11.036	   -7.8062
     7	     0	    40.318	   26.8735	   20.5357	   12.0248	   1.28145	   9.05895	         0	         0	   11.0982	  -7.79061
     8	     0	   41.0426	   26.6385	   22.1165	   3.05429	   2.47611	   9.07799	         0	         0	   10.4485	  -7.19048
     9	     0	    37.078	   26.7705	   20.9393	   9.01169	   1.69383	   7.66806	         0	         0	   10.9153	  -6.94752
    10	     0	   42.2128	   26.6289	   21.3177	   11.5873	  -1.56422	   7.54635	         0	         0	    11.169	   -7.1307
    11	     0	   37.0996	   26.7705	   20.9393	   10.8208	   1.66917	   7.66806	         0	         0	   10.9153	   -6.9514
    12	     0	   41.6602	   25.7934	   21.5408	   8.27263	   2.03689	   8.06498	         0	         0	   10.6958	  -7.01322
    13	     0	   41.3601	   26.7098	   21.2703	   8.92495	  0.477926	   7.56611	         0	         0	    11.054	  -7.07232
    14	     0	    41.194	   26.8558	   21.4115	   7.84712	   2.69146	   8.91985	         0	         0	   11.0325	  -7.59862
    15	     0	   39.6792	    26.784	   21.6956	   9.70366	   2.82531	   9.22334	         0	         0	   10.4838	  -7.66543
    16	     0	   37.9492	   26.3285	   20.5131	   11.7293	   3.08399	   7.55725	         0	         0	   10.2133	  -6.57937
    17	     0	   40.9592	   26.6385	   22.1165	   2.10766	   2.48024	   9.07799	         0	         0	   10.4485	  -7.19184
    18	     0	   40.7436	   26.6351	   21.3831	   8.98489	   3.08465	   8.71465	         0	         0	   10.4456	  -7.23646
    19	     0	   35.6008	   26.6898	   19.4292	    8.7015	   2.21471	   9.02473	         0	         0	   10.6629	  -7.43469
    20	     0	   40.1975	   26.1627	   21.5628	   8.33001	   2.87698	    9.0235	         0	         0	   9.84305	  -7.19146
    21	     0	   35.3877	   26.6421	   20.1195	   10.2138	   3.06634	   8.96044	         0	         0	   10.2053	  -7.39261
    22	     0	   35.4122	   26.6898	   19.4292	   9.25411	   2.19072	   9.02473	         0	         0	   10.6629	  -7.44051
    23	     0	   40.4528	   26.6384	   21.2786	   10.5811	    3.0028	   8.50987	         0	         0	   10.6149	  -6.99399
    24	     0	   37.6579	   26.7095	   22.2569	 -0.394156	   1.41222	   9.09516	         0	         0	   10.1439	  -7.04521
    25	     0	   29.8413	   26.6411	   21.8335	  -1.78829	   2.38311	   9.01012	         0	         0	   10.3439	  -7.70336
    26	     0	   41.3734	   26.4494	   22.9789	   8.30321	   3.02794	   8.64269	         0	         0	   10.8938	  -7.11732
    27	     0	   41.1667	   26.7579	   21.2838	   9.89576	    2.6556	   8.54228	         0	         0	   10.8682	  -7.17699
    28	     0	   37.9877	   26.8915	   21.1231	   7.26619	   2.95093	   9.22735	         0	         0	   10.7095	  -8.28781
    29	     0	   35.3613	   26.6898	   19.4292	   10.7259	   2.18448	   9.02473	         0	         0	   10.6629	  -7.44203
    30	     0	   40.4544	   26.7337	   22.1167	   9.21377	   3.07548	   8.19541	         0	         0	   11.0924	  -7.10395
    31	     0	   37.9423	   26.3285	   20.5131	   10.4224	    3.0835	   7.55724	         0	         0	   10.2133	  -6.57958
    32	     0	   38.9259	   26.7776	    21.884	   8.75124	    3.1109	   9.03143	         0	         0	   10.7779	  -7.59911
    33	     0	   37.9664	    26.742	   20.4735	   10.0008	   2.71535	   9.29193	         0	         0	    9.9821	  -7.67811
    34	     0	   40.7847	   26.7772	   21.9625	   6.44759	   2.60991	   8.63572	         0	         0	   10.9369	  -7.15948
    35	     0	   38.9132	   26.6865	   21.6146	    9.8907	   3.16663	   8.24257	         0	         0	   10.8376	  -7.02175
    36	     0	   40.5969	   26.7256	   21.1662	   8.46916	   2.78805	   8.51372	         0	         0	     10.95	  -6.95285
    37	     0	   38.8491	    26.224	    20.921	   9.82876	    3.1889	    8.2722	         0	         0	    10.233	  -6.88278
    38	     0	   40.4065	   26.8172	   22.7862	   5.92637	   3.11636	   8.65395	         0	         0	   11.0266	  -7.25144
    39	     0	   40.3763	   26.8346	   21.8404	    8.0924	   2.97227	   9.02941	         0	         0	    10.824	  -7.44216
    40	     0	   41.7324	   26.4494	   22.9789	   6.06284	   3.01974	   8.64269	         0	         0	   10.8938	  -7.11254
    41	     0	   41.7828	   26.6869	   22.3459	   8.75601	   3.07825	    9.0363	         0	         0	   10.8435	  -7.53125
    42	     0	   41.3772	   26.4494	   22.9789	   8.70206	   3.02786	   8.64269	         0	         0	   10.8938	  -7.11727
    43	     0	   39.8491	    26.823	   21.6175	   9.61275	   2.86204	   9.19484	         0	         0	   10.4641	  -7.55559
    44	     0	   41.7812	   26.8544	    22.512	   10.9366	    2.9814	   8.60312	         0	         0	   10.9934	  -7.19889
    45	     0	   40.5858	    26.799	   21.2025	   9.84612	   2.54888	   8.88119	         0	         0	   10.8985	  -7.37939
    46	     0	   40.2412	   26.7337	   22.1167	   8.19718	   3.06636	   8.19541	         0	         0	   11.0924	  -7.10808
