   386.426	    383.88	   389.489	   405.405	    422.69	   435.318	   448.829	   463.942	   478.867	   496.758	   521.596	    557.46	    611.44	   678.023	   757.842	   846.117	    929.38	   964.455	   952.814	   934.757	    896.48	   830.788	   760.236	   697.951	   644.572	   601.228	   556.849	   532.631	    516.95	   507.418	   503.165	   500.912	   505.806	   528.912	   575.111	   568.999	   568.944	   594.084	   625.107	   662.884	    697.67	   709.295	   704.088	   687.734	   667.156	    648.57	
   655.445	   590.225	   555.318	     549.1	   554.783	   567.333	   592.814	   657.777	   756.744	   895.554	   1076.02	   1299.32	   1536.53	   1787.46	   2056.12	   2344.95	   2625.25	   2803.54	   2844.94	   2842.98	   2726.69	   2489.21	   2219.36	   1952.99	   1713.47	   1516.13	   1326.48	   1180.37	   1085.14	   1024.11	   982.707	   955.902	   948.577	   965.373	   1012.57	   961.149	   926.069	   928.076	   937.923	   971.951	   1035.32	   1082.42	   1111.99	   1129.35	   1128.87	   1101.86	
   607.666	   649.307	   673.251	   704.962	   742.113	   786.583	   847.983	   960.303	   1123.59	   1353.96	   1673.62	   2110.74	   2644.57	   3287.62	   4051.27	    4915.6	   5786.09	   6448.17	   6765.87	    6961.3	   6852.12	   6424.49	   5915.81	   5391.51	   4870.63	   4378.16	   3830.42	   3323.85	   2972.19	   2709.17	   2489.81	   2290.85	   2136.66	   2061.85	   2063.15	   1808.09	   1689.34	   1689.35	    1676.7	   1684.67	   1721.28	    1705.6	   1660.51	    1614.2	   1571.85	   1538.46	
   518.571	   623.397	   699.172	   778.533	    868.49	   975.629	   1115.58	   1319.54	    1587.2	   1928.65	   2358.98	   2902.11	   3551.36	   4306.55	   5206.64	   6271.86	   7427.35	    8431.3	   9139.45	    9774.7	   9957.41	   9599.36	   8952.18	   8200.76	   7428.85	   6714.77	   5938.54	   5253.31	   4836.16	   4546.78	   4295.36	    4046.1	   3812.97	   3676.08	   3633.94	   3105.74	   2825.28	      2751	   2663.63	      2622	   2640.58	   2594.62	   2515.12	   2406.88	   2285.85	   2164.33	
   549.731	   644.049	   721.545	   808.153	   909.881	   1037.18	   1210.31	   1464.74	   1803.55	   2237.86	   2778.96	   3438.96	   4204.07	   5060.11	   6030.73	   7115.83	      8220	   9098.52	   9625.32	   10096.4	   10170.9	   9810.18	   9236.68	   8613.78	   7957.48	   7287.01	   6480.93	   5707.19	   5202.04	   4837.92	   4566.51	   4361.13	    4237.2	   4259.27	   4409.87	   3929.18	   3722.95	   3731.59	   3673.09	    3630.8	   3643.21	   3529.01	    3361.3	   3174.06	   2986.84	   2811.28	
   617.348	   670.206	   725.343	   802.913	   901.647	   1024.69	    1189.7	   1425.72	   1738.76	   2142.02	   2652.33	   3286.26	   4031.87	   4879.87	   5850.68	   6931.74	   8010.68	   8862.03	   9365.18	   9785.45	   9780.29	    9332.4	   8647.82	   7931.48	   7223.86	   6560.01	   5830.15	   5193.61	   4805.35	   4523.52	   4298.08	   4117.04	   3990.63	   3997.89	   4149.27	   3754.71	   3639.59	   3786.11	   3910.21	   4058.17	    4255.5	    4288.6	   4198.35	   4029.66	    3817.8	   3589.55	
   693.959	    756.77	    799.47	    843.45	    889.66	   948.194	   1040.56	   1197.82	   1425.87	   1735.56	   2135.33	    2635.8	   3218.06	   3872.32	   4614.99	   5447.04	   6296.56	   7022.62	   7507.79	   7945.42	   8045.73	   7775.74	   7273.74	   6733.39	   6179.34	   5634.93	   5017.18	   4463.91	   4104.15	   3831.19	   3625.91	   3484.42	   3421.54	   3491.97	   3700.93	    3462.7	   3408.38	   3542.17	   3655.03	   3800.46	   4029.35	   4146.05	      4199	   4206.47	   4167.92	   4077.73	
   592.925	    710.18	   789.157	   861.087	   925.204	   981.117	   1039.25	   1117.36	   1222.47	   1367.72	   1571.88	   1854.62	   2220.73	   2665.65	   3198.61	   3806.74	   4432.16	   4974.25	   5348.09	   5695.05	   5825.51	   5715.76	   5444.11	   5142.69	   4822.85	   4494.34	   4088.05	   3713.62	   3473.96	   3286.77	   3139.65	   3033.38	   2980.19	   3026.44	   3187.73	   3006.44	   2980.87	   3129.04	    3289.9	    3496.6	   3773.91	   3932.65	   4003.09	   4012.86	   3984.17	   3936.84	
   527.548	   686.163	   780.388	   844.237	   885.475	   913.541	   945.845	   995.262	    1071.2	   1175.97	   1310.18	   1475.24	   1671.37	    1886.7	   2138.23	   2440.46	   2781.15	   3116.53	   3390.41	   3679.98	   3846.89	   3853.43	   3735.35	   3586.05	   3418.72	   3246.34	   3020.88	   2816.39	   2699.13	   2615.33	   2557.36	   2524.51	    2532.1	   2618.28	   2798.43	    2684.9	    2665.7	   2773.75	   2887.87	   3040.15	   3262.96	   3409.41	   3514.44	   3595.49	   3653.32	   3681.19	
   369.123	   557.375	   675.003	   764.123	   830.537	   872.698	   899.149	   917.356	   938.423	   971.104	   1025.61	   1110.49	    1234.1	   1388.64	   1575.95	   1785.77	   1989.76	   2140.32	   2218.75	   2301.45	   2339.67	    2324.5	   2275.08	   2233.11	    2191.5	   2144.49	   2056.35	   1972.56	   1929.84	   1903.45	   1894.89	   1907.12	   1954.81	   2064.63	   2252.58	   2218.19	   2228.82	   2335.47	    2453.2	   2601.11	   2797.63	   2920.69	   2992.39	   3029.48	   3045.13	   3050.97	
   353.613	   552.847	    655.09	   706.127	   724.049	   726.882	   733.304	   749.954	   780.035	   821.312	   871.172	    929.52	   997.649	   1069.71	   1155.16	   1258.77	   1373.61	    1473.8	   1542.84	   1618.41	   1648.24	   1617.16	   1536.42	   1455.14	   1382.57	    1328.4	   1274.98	   1245.54	    1249.1	   1269.39	   1300.55	   1342.61	   1403.21	    1501.2	   1652.74	   1652.21	   1666.17	   1754.47	   1864.46	   2003.46	   2180.52	   2300.87	   2380.12	   2430.67	   2458.82	   2469.87	
   209.006	   423.378	   548.948	   628.531	   675.455	   692.279	   687.248	   671.803	   655.035	   643.308	   647.035	    673.19	   726.125	   796.708	   883.241	   977.638	   1064.76	   1110.53	   1116.96	   1123.18	   1113.05	   1081.45	   1034.88	   999.785	   970.664	   943.352	   902.597	    868.78	   845.423	   832.197	   833.265	   852.844	   897.565	   975.518	   1095.34	   1120.17	   1132.58	   1188.51	   1266.25	   1363.04	   1485.86	   1577.86	   1648.05	   1702.19	   1743.32	   1772.83	
   68.8751	   160.135	   254.757	   339.683	   408.913	   458.581	    491.93	   504.389	   515.165	   527.166	   539.135	   550.419	   569.206	   588.121	   612.023	   648.386	   696.128	   734.019	   759.966	   786.077	   794.489	    772.49	    725.13	   677.651	   635.618	   603.715	   575.029	   560.185	   559.129	   566.391	       577	   589.432	   606.618	   634.707	   682.913	   676.382	   660.086	   681.175	   730.122	   795.966	   876.894	   940.147	   986.929	   1021.68	   1047.31	   1067.75	
   8.53066	   22.6451	   40.6682	   63.6488	   91.8098	   125.089	   163.836	   209.112	   247.675	   281.041	     311.2	   340.324	   365.897	    395.46	   430.051	   465.974	    494.57	   504.233	   495.733	   483.697	   471.357	    454.53	   436.134	   422.828	   411.713	    400.42	   382.945	   360.614	   343.408	   332.008	   327.239	   330.178	   343.709	   369.357	    408.67	   408.821	   386.216	   378.884	   386.523	   400.201	   422.973	   443.753	    464.48	   485.344	   505.188	   522.474	
  0.408027	   1.40237	   2.95819	   5.23586	   8.51892	    12.823	   18.7531	   30.8348	   45.5169	   63.0682	   84.3345	   110.373	   137.581	   163.239	   188.541	    214.51	   239.472	   255.991	    266.99	   275.369	    278.12	   268.051	   249.726	   230.713	   214.151	    202.55	   193.911	    182.05	   175.452	    172.12	   170.001	   168.483	   168.525	   171.643	   180.117	    171.41	   153.667	    148.54	   155.669	   165.748	   176.843	   182.713	   183.703	   181.702	   178.993	   177.993	
